Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A0,587727178986356823,1.71492E-3,-10.37380123,1729,40,3,83,GALAXY,18.172934,17.092245,16.646692,0.716727,0.721281,-457.578613,-16.894369,-3183.36377,7.478914,2.654277,14.637464,2.409181,0.683435
A1,587727227300741210,3.0898E-3,-9.22228968,1740,40,5,22,GALAXY,17.870296,17.139402,16.753517,0.486402,0.531316,-34.642078,-205.182571,-4569.33789,5.956697,2.561271,42.203449,2.362853,1.649344
A2,587727225153258118,1.92337E-3,-10.95005599,1740,40,1,22,GALAXY,22.277287,21.497944,21.137159,0.602995,0.789641,-0.010133,-0.020631,-0.126871,1.964262,1.241675,18.678995,2.254924,-0.038672
A3,587730774962536881,359.99907404,15.50957006,2566,40,5,309,GALAXY,22.421926,21.425528,20.842289,0.090974,0.159385,-0.253729,-0.255903,-1.298047,1.80742,1.064388,8.014213,1.971248,-0.046332
A4,587731186203886273,359.99679413,-0.09331653,2662,40,3,282,GALAXY,23.878498,21.573294,20.405378,0.342316,0.470956,-0.30533,-0.464095,-2.545326,1.621685,0.771577,5.204635,1.909517,-0.066704
A5,587727180060098847,4.087E-5,-9.49008858,1729,40,5,83,GALAXY,22.099087,21.179382,20.267467,0.096716,0.058272,-1.858225,-1.874411,-1.455717,0.723104,0.48622,3.380333,1.838581,4.814602E-3
A8,587730775499407805,5.86E-4,15.88157809,2566,40,6,309,GALAXY,22.075459,21.552485,21.432327,0.184489,0.05,-0.025983,-0.043587,-0.105704,1.273662,0.759983,-6.77506,1.092371,-0.038129
A9,587727221950382609,359.99681631,14.82427221,1739,40,3,302,GALAXY,21.324039,20.780504,20.56057,0.221116,0.241703,-1.371231,-1.562572,-9.150669,2.704644,1.08967,5.680927,2.106271,-0.029842
A10,587730774425600934,359.99823787,15.04254026,2566,40,4,308,GALAXY,22.684338,21.177883,20.253099,0.43324,0.451082,-2.823659,-2.313958,-4.668316,1.06444,0.58928,3.083155,2.187752,-0.077599
A12,588015507658768857,3.3288E-4,-1.10997713,3325,41,1,108,GALAXY,22.522333,20.838104,20.227543,0.125083,0.167457,-0.708838,-0.676173,-8.073707,2.261057,1.043359,7.36471,2.190845,-0.058785
A13,587727178449486603,359.99998264,-10.71853427,1729,40,2,83,GALAXY,24.186111,23.405607,24.826538,0.05,0.519611,-1.138257,-1.138257,-0.748444,1.299474,1.290204,-9999,-9999,1.650238E-3
A14,587730773351859143,359.99626335,14.19901015,2566,40,2,308,GALAXY,22.454197,22.630817,20.535978,0.221671,0.271159,-0.045362,-0.03238,-0.721054,3.645912,1.537051,40.676804,1.757215,0.049779
A18,587727180596969990,2.21032E-3,-8.94206832,1729,40,6,83,GALAXY,23.235117,22.136908,21.949009,0.05,0.05,-3.576132E-3,-5.504882E-3,-0.014472,1.811615,1.250528,-234.645096,1.450424,-0.037785
A19,587731187277628120,1.36083E-3,0.78243953,2662,40,5,282,GALAXY,23.681173,21.995991,21.576694,0.05,0.097798,-0.316863,-0.358853,-0.287855,0.850552,0.60219,5.432404,1.690941,0.033276
A20,587727227300741210,3.0898E-3,-9.22228968,1740,40,5,22,GALAXY,17.870296,17.139402,16.753517,0.486402,0.531316,-34.642078,-205.182571,-4569.33789,5.956697,2.561271,42.203449,2.362853,1.649344
A22,587727221413512228,4.4975E-4,14.40728788,1739,40,2,302,GALAXY,23.096073,22.563766,21.244816,0.2637,0.471074,-0.200757,-0.152411,-0.617874,1.929585,0.699182,3.521056,2.172849,-0.054594
A23,587730775499407809,3.12169E-3,15.87247916,2566,40,6,309,GALAXY,21.786594,20.996485,21.004898,0.368125,0.255583,-2.453872,-2.822634,-4.0261,3.954826,1.488702,15.490859,2.134024,-0.078194
A24,588015509806252415,3.15504E-3,0.50729367,3325,41,5,108,GALAXY,19.952291,19.154903,18.839991,0.579858,0.645437,-0.143282,-5.351634,-165.427002,3.545689,1.715883,23.745188,2.162145,-0.014264
A26,588015510343123540,4.78126E-3,0.85961493,3325,41,6,108,GALAXY,22.298864,21.62557,21.381796,0.164963,0.213584,-6.462626E-3,-4.833992E-3,-8.706407E-3,2.43919,0.978347,12.471647,2.513236,-0.037724
A27,587727220876640870,3.29999E-3,13.91097779,1739,40,1,302,GALAXY,22.455755,22.649881,21.667046,0.05,0.05,-0.667463,-0.670664,-0.615375,0.956391,0.487337,5.246874,2.107924,0.026242
A28,587730775499407479,359.9977609,15.85631313,2566,40,6,309,GALAXY,19.488092,18.440042,17.917727,0.545667,0.592751,-24.598186,-9.708115,-689.935486,3.056045,1.150981,7.966682,2.199191,0.854702
A30,587730775499407731,359.99932349,15.83609796,2566,40,6,309,GALAXY,21.06724,21.490225,20.81168,0.418322,0.495264,-1.172822E-5,-7.313566E-5,-0.037649,1.692412,0.841323,6.86834,2.075804,-0.016673
A32,587731186203886068,359.99857121,-0.04413167,2662,40,3,282,GALAXY,22.589605,21.243679,20.644823,0.253126,0.400034,-0.702093,-1.203929,-3.80998,1.43315,0.841523,6.480174,2.009883,-0.073575
A33,587730773888729943,9.0893E-4,14.5468067,2566,40,3,308,GALAXY,22.10833,22.38773,21.162935,0.415199,0.515138,-0.011977,-0.048633,-0.558836,1.416246,0.799802,9.880555,2.085678,-0.04017
A35,587727221413512102,3.6583E-4,14.51993253,1739,40,2,302,GALAXY,23.51334,22.649323,22.094984,0.05,0.05,-1.011253E-3,-1.310495E-3,-0.012948,1.121385,0.541612,2.521236,1.884127,-0.031083
A36,587730774962536482,2.64571E-3,15.4377604,2566,40,5,309,GALAXY,22.252384,21.563469,21.042204,0.363286,0.44649,-0.017465,-8.486829E-3,-0.735021,5.10307,1.491892,15.389151,2.045661,-0.027676
A37,587730773351859033,3.215E-4,14.24382093,2566,40,2,308,GALAXY,23.194412,21.392353,20.83732,0.058552,0.149993,-0.611358,-0.897111,-7.690672,1.857775,0.913922,10.195699,2.044484,-0.071084
A40,587727223024124755,9.5761E-4,15.70468928,1739,40,5,302,GALAXY,22.428701,21.483608,20.890913,0.099367,0.14438,-3.023555,-3.051767,-2.957722,5.236069,1.581004,2.504849,2.164077,0.016158
A42,588015508195639843,5.45141E-3,-0.6432651,3325,41,2,108,GALAXY,22.77858,21.625235,20.910498,0.05,0.05,-0.261576,-0.149906,-0.374244,1.77458,0.810616,4.861295,2.278325,-0.062597
A44,587727225690129102,3.22306E-3,-10.5405926,1740,40,2,22,GALAXY,22.276978,21.291334,20.904772,0.737277,0.50849,-1.637681,-1.413429,-1.633199,2.702147,1.012081,3.040514,2.035016,-0.085781
A47,587730775499407379,3.27325E-3,15.88039207,2566,40,6,309,GALAXY,20.931116,20.325056,19.952324,0.47271,0.707675,-0.643285,-0.518537,-1.999331,1.890962,0.761233,4.541593,2.032678,-0.044787
A50,587731187277628123,2.14734E-3,0.65415989,2662,40,5,282,GALAXY,22.289461,21.725628,21.45504,0.05,0.05,-0.91622,-1.168731,-1.384725,-9999,-9999,9.929939,2.192735,-0.093533
A51,587727225690128882,359.99862138,-10.47762755,1740,40,2,22,GALAXY,21.366049,20.461864,20.091045,0.999827,0.999989,-0.429877,-0.423361,-1.334091,2.376069,0.717199,3.143798,2.189006,-0.045709
A52,587730773351859041,5.50653E-3,14.21220376,2566,40,2,308,GALAXY,22.987892,22.13026,22.019884,0.050969,0.146015,-1.247522,-1.253394,-0.883069,-9999,-9999,2.922944,1.299278,7.829878E-3
A53,587727220876641358,7.04211E-3,13.92121731,1739,40,1,302,GALAXY,22.51433,21.912029,21.125912,0.76294,0.95555,-0.036136,-0.108698,-0.371872,3.215559,1.510697,12.966132,1.042091,9.539898E-3
A55,587727223024190294,7.86404E-3,15.7341262,1739,40,5,303,GALAXY,22.866854,22.137583,22.663107,0.168065,0.349972,-3.35875E-3,-3.039592E-3,-2.035768E-3,0.840331,0.587548,-33.651649,-0.494293,4.401779E-3
A56,587727179523228037,2.68153E-3,-9.8887744,1729,40,4,83,GALAXY,22.227184,21.574242,21.397051,0.683634,0.750355,-0.473975,-0.909754,-2.810965,1.759971,1.320625,19.562355,0.800696,-0.069548
A58,587730773888729965,3.51677E-3,14.7323564,2566,40,3,308,GALAXY,22.442862,21.261108,19.897783,0.09993,0.072974,-0.141331,-0.542152,-8.613503,1.15561,0.585284,2.933977,2.031678,-0.037241
