Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A5000,588015509806449603,0.54067861,0.48674901,3325,41,5,111,GALAXY,23.323706,22.80735,21.631414,0.05,0.120142,-1.103972,-0.830391,-0.727633,-9999,-9999,3.97646,2.037649,0.020698
A5003,587730774425862745,0.53641041,15.00456733,2566,40,4,312,GALAXY,22.715506,22.506155,22.29528,0.099952,0.111326,-1.323021,-1.611916,-1.761478,0.807767,0.599297,-29.185759,3.30302,-0.104758
A5006,588015509269578409,0.54029249,0.1788962,3325,41,4,111,GALAXY,24.005487,22.291143,21.853117,0.099991,0.050002,-0.424265,-0.203235,-0.299021,1.974029,0.694501,2.577101,1.824635,-0.043058
A5008,587731185130406352,0.53775118,-0.96435394,2662,40,1,286,GALAXY,22.376171,21.374233,20.958874,0.411256,0.692404,-0.138829,-0.140803,-1.197445,2.178389,1.072205,7.492368,2.094697,-0.03769
A5009,587731187277890684,0.54089845,0.74069436,2662,40,5,286,GALAXY,24.490873,23.537556,24.329302,0.05,0.05,-0.421927,-0.428377,-0.245868,-9999,-9999,-9999,-9999,0.023604
A5010,587727180597166756,0.53629692,-8.95595557,1729,40,6,86,GALAXY,22.257788,20.810759,20.6028,0.300143,0.600046,-0.7056,-0.676065,-1.100476,1.619276,1.058709,17.072412,0.91263,-0.071833
A5011,587731186741019141,0.54498857,0.22386922,2662,40,4,286,GALAXY,21.895954,22.197222,22.722996,0.05,0.199986,-0.016041,-0.017604,-0.011038,0.986405,0.704648,18.005333,2.380293,3.315544E-3
A5013,587727227301003271,0.53711407,-9.17450856,1740,40,5,26,GALAXY,24.069082,22.588884,22.697159,0.361261,0.577178,-6.209049E-5,-1.018343E-5,-2.344126E-5,3.639816,1.721202,14.047541,0.466287,-5.386648E-3
A5014,587727225690391204,0.54313077,-10.43488039,1740,40,2,26,GALAXY,24.532457,22.119562,21.200628,0.249995,0.522977,-0.061791,-0.093919,-1.486419,1.561618,0.87861,6.751331,2.193187,-0.051008
A5016,587727177912811920,0.53933642,-11.11310601,1729,40,1,86,GALAXY,20.65917,19.374353,18.772058,0.85009,0.821616,-10.864835,-1.735709,-94.468422,5.189211,1.885286,12.675821,2.365357,-0.027163
A5017,587727227301003877,0.54005658,-9.2692616,1740,40,5,26,GALAXY,23.282934,21.971188,21.543156,0.457082,0.504897,-0.013754,-0.011513,-0.037525,2.266191,0.9926,5.938803,2.107988,-0.039799
A5018,587727225153519686,0.53533107,-10.94482915,1740,40,1,26,GALAXY,18.853281,17.619579,17.170673,0.585939,0.620923,-174.639755,-0.889093,-1637.13184,5.136298,1.660713,8.447627,2.30623,0.063809
