Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A1002,587727221413577383,0.1055549,14.50533719,1739,40,2,303,GALAXY,22.784374,22.276489,22.268663,0.05,0.094553,-0.03828,-0.040111,-0.018316,1.517543,0.414207,1.700925,2.00939,4.909388E-3
A1003,587727225153323110,0.09621678,-10.82390184,1740,40,1,23,GALAXY,20.643864,19.166735,18.56908,0.676887,0.720535,-29.411438,-5.150948,-125.727242,4.354683,1.27703,4.374305,2.282598,0.075878
A1004,587727180596970259,0.09954674,-8.91604619,1729,40,6,83,GALAXY,21.781107,20.603184,20.114462,0.24432,0.261827,-0.045567,-0.061415,-0.164587,4.12317,1.291519,6.869813,1.061365,-0.016612
A1005,587727225690194739,0.10691802,-10.42935355,1740,40,2,23,GALAXY,23.241186,22.358833,21.582212,0.585575,0.52655,-0.223079,-0.25515,-0.196518,1.139773,0.662042,3.036464,1.789961,0.01822
A1009,587727180596969893,0.09840261,-9.0611229,1729,40,6,83,GALAXY,22.182817,22.437262,21.10301,0.250694,0.484712,-0.023742,-0.033089,-0.181727,1.773472,1.04543,11.630621,2.045078,-0.035869
A1011,587727180596969902,0.10420559,-9.00712891,1729,40,6,83,GALAXY,22.438089,21.80687,21.353949,0.05,0.05,-0.01603,-5.658465E-3,-0.0206,2.521697,0.883584,8.004472,1.929518,-0.037074
A1013,587727223024189862,0.10254574,15.60391905,1739,40,5,303,GALAXY,22.53088,21.310862,20.505623,0.916719,0.844183,-0.021119,-0.097381,-3.073503,1.427479,0.744144,4.492882,2.090761,-0.040986
A1014,588015508732510683,0.0990685,-0.38750602,3325,41,3,108,GALAXY,21.449078,21.090706,20.895031,0.108439,0.05,-2.110084,-2.945905,-4.13559,0.10649,0.074697,8.912037,1.674358,0.028318
A1016,588015510343123470,0.10362803,1.03984528,3325,41,6,108,GALAXY,20.814373,19.795315,19.355682,0.497832,0.503517,-0.03226,-0.306017,-36.239182,2.737033,1.144202,9.486411,2.153542,-0.019653
A1017,587727225690194738,0.10092774,-10.47870296,1740,40,2,23,GALAXY,20.147821,25.453026,19.12097,0.299947,0.238225,-4.907357,-6.216854,-11.092657,2.212161,1.406832,1.637061,1.853963,-0.070028
A1018,587727221950448111,0.09988705,14.8978709,1739,40,3,303,GALAXY,21.694126,21.118677,21.24107,0.072645,0.124765,-0.129844,-0.135693,-1.892963,3.316788,1.541437,23.21567,2.519738,0.014878
A1019,587730772815053666,0.10456228,13.80400957,2566,40,1,309,GALAXY,23.208605,22.238802,20.843515,0.433376,0.05,-0.13993,-0.102077,-0.154041,4.33566,1.867372,8.491785,2.399888,-0.041555
A1020,587730775499408278,0.10144636,15.81861135,2566,40,6,309,GALAXY,23.007368,21.547384,21.086706,0.448646,0.350409,-0.152579,-0.144599,-0.119115,1.803801,0.872758,3.812755,2.287357,0.014553
A1022,587731185130209906,0.10559448,-1.02565448,2662,40,1,283,GALAXY,22.317221,21.727495,21.255854,0.531771,0.913523,-0.448793,-0.482835,-0.877231,1.861873,1.177457,9.833919,2.06657,-0.058985
A1023,587730775499408394,0.10095297,15.84039407,2566,40,6,309,GALAXY,24.728926,24.442142,21.738035,0.45423,0.387152,-0.0116,-0.013096,-7.107238E-3,1.017908,0.594592,-17.676855,1.576933,3.272915E-3
