Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A4001,587727226764067486,0.42588745,-9.71849296,1740,40,4,25,GALAXY,23.00168,22.291786,21.874392,0.509335,0.685013,-0.788903,-0.616296,-1.072033,2.364922,1.580759,24.684343,2.125352,-0.02555
A4002,587727220876837185,0.42629276,13.91256398,1739,40,1,305,GALAXY,20.959908,20.000963,19.787189,0.498184,0.59983,-0.295933,-1.421369,-40.522369,2.978679,1.188828,11.354088,2.124679,0.015984
A4004,587731186740953626,0.43103684,0.23060122,2662,40,4,285,GALAXY,21.541798,20.73501,20.626463,0.521934,0.604745,-0.511855,-0.602622,-2.549719,2.996553,0.939792,6.034033,2.009686,-0.049271
A4006,587727177912811795,0.43211612,-11.0618217,1729,40,1,86,GALAXY,20.710733,19.893326,19.483398,0.491127,0.569065,-0.392142,-1.63465,-41.273193,2.30365,1.199324,12.33422,2.179719,-0.030598
A4007,587731186740953609,0.42346421,0.24155166,2662,40,4,285,GALAXY,20.678167,20.187365,20.000046,0.201303,0.336865,-0.175477,-1.536181,-30.050083,1.587934,1.04837,18.223145,2.11114,-0.010655
A4009,587727227300938093,0.42598324,-9.24448214,1740,40,5,25,GALAXY,19.69454,19.521364,19.157772,0.556668,0.64869,-7.090363E-3,-0.383601,-39.004753,4.378818,2.13088,50.44191,2.089883,-0.019817
A4010,587730775499539183,0.42655817,15.9170083,2566,40,6,311,GALAXY,23.3706,21.867407,21.469074,0.05,0.05,-0.019139,-0.016381,-0.023576,2.595948,0.899203,12.176415,2.027902,-0.031812
A4016,588015508732706999,0.42885571,-0.28726839,3325,41,3,111,GALAXY,19.587503,18.348854,17.847637,0.508187,0.560566,-17.463329,-35.803284,-1405.55103,3.978512,1.770173,19.550529,2.290335,0.695659
A4019,588015509269578309,0.42289419,0.01348089,3325,41,4,111,GALAXY,23.74262,22.116808,21.327108,0.05,0.112019,-0.039007,-0.015777,-0.486912,1.520406,0.772132,5.751652,2.149552,-0.037763
A4021,588015508732707412,0.42793757,-0.37547471,3325,41,3,111,GALAXY,25.416632,22.275587,24.332893,0.05,0.05,-0.401257,-0.4115,-0.235089,-9999,-9999,-9999,-9999,9.157308E-3
A4023,587731185130340849,0.42813949,-1.04712889,2662,40,1,285,GALAXY,20.406725,19.568611,19.203562,0.300299,0.363921,-2.232413,-3.215494,-94.320122,2.049643,1.007539,8.191442,2.255064,-7.479042E-4
A4024,587727180060230283,0.4287195,-9.3741555,1729,40,5,85,GALAXY,22.07596,21.140791,20.852179,0.349992,0.485315,-2.543512E-3,-2.918299E-3,-2.025946E-3,0.953878,0.631732,6.34943,1.593793,7.103125E-3
A4027,587730775499539190,0.43217345,15.83615812,2566,40,6,311,GALAXY,23.548935,22.303242,21.578823,0.391465,0.506046,-5.840332E-3,-0.023817,-0.471509,2.028417,1.335683,15.269547,1.857282,-0.035954
A4028,587727227300938102,0.42815728,-9.1904223,1740,40,5,25,GALAXY,21.751778,21.192171,20.891825,0.313979,0.401426,-0.13548,-0.181793,-0.278127,1.68956,0.79386,5.291395,1.846908,-0.058315
A4029,587731186204082298,0.43262043,-0.01155188,2662,40,3,285,GALAXY,26.455183,22.702465,19.56674,0.49968,0.56628,-0.337247,-0.096594,-0.806735,2.503405,1.324214,15.35658,2.288628,-0.03514
A4031,587727179523359275,0.42583273,-9.91534182,1729,40,4,85,GALAXY,20.805637,19.823818,19.318726,0.416501,0.521202,-1.089243,-1.842885,-59.513222,2.972958,1.112413,8.738027,2.130645,-0.020576
A4033,587727221950579313,0.42998834,14.84789394,1739,40,3,305,GALAXY,22.269964,22.104935,21.563438,0.097663,0.149804,-0.183859,-0.201294,-0.237284,1.360831,0.609123,2.142291,1.920523,-0.06538
A4034,588015508195836724,0.43049461,-0.83040853,3325,41,2,111,GALAXY,22.191748,23.247255,23.119623,0.05,0.05,-0.26014,-0.290818,-0.259205,-9999,-9999,14.247872,-0.320392,0.054706
A4035,588015509269578315,0.43511357,0.01554014,3325,41,4,111,GALAXY,23.269356,22.163322,22.24412,0.999689,0.999775,-6.700953,-8.49442,-13.84403,4.023372,2.907907,269.188812,1.736122,-0.072471
A4036,587731185130341102,0.43687024,-1.019738,2662,40,1,285,GALAXY,24.266445,22.148706,21.288239,0.05,0.092137,-7.520212E-3,-6.906525E-3,-2.198132E-3,1.275118,0.783628,3.173033,2.341117,1.314068E-3
A4037,587727225690325896,0.42733704,-10.54616598,1740,40,2,25,GALAXY,22.89555,22.148266,22.190081,0.05,0.05,-1.017759,-1.031859,-1.342517,2.457169,1.367493,-2560.06445,2.105744,-0.037696
A4039,587731187277824893,0.42954554,0.82033657,2662,40,5,285,GALAXY,24.082315,23.175041,21.404074,0.05,0.05,-0.156955,-0.172201,-0.264508,1.108614,0.586931,3.545161,2.085966,-0.066038
A4042,587727226764067492,0.43169204,-9.66087108,1740,40,4,25,GALAXY,22.853575,21.683786,21.433008,0.450333,0.145785,-0.396295,-0.452843,-0.341611,0.838729,0.602754,3.148282,2.582319,0.035649
A4043,587730774962668507,0.43093605,15.51083173,2566,40,5,311,GALAXY,21.973713,20.8515,20.692392,0.532903,0.420305,-0.263938,-0.428782,-2.437142,1.619058,1.048067,11.776379,2.010046,-9.04536E-3
A4045,587727225690325359,0.43255949,-10.49674756,1740,40,2,25,GALAXY,22.028799,22.479294,21.455353,0.183427,0.231608,-0.695007,-0.609294,-1.086574,3.755904,1.760674,11.813128,2.765007,-0.055128
A4047,587731185667211991,0.42722322,-0.51239687,2662,40,2,285,GALAXY,23.548479,22.033817,22.870323,0.05,0.12465,-2.388442,-2.546032,-2.598073,1.30746,1.029056,11.686215,1.107209,-0.085833
A4049,587730774425797634,0.43093957,14.98757108,2566,40,4,311,GALAXY,23.684158,22.323587,21.309181,0.100007,0.349998,-2.337979,-1.948988,-2.546445,1.382079,0.649336,3.46935,1.973606,-0.114854
A4050,588015508732707418,0.43188859,-0.24849413,3325,41,3,111,GALAXY,23.119087,21.516153,20.896528,0.349994,0.600002,-0.049413,-0.094271,-0.646977,0.922535,0.63007,5.86455,2.170578,-0.053844
A4051,587727221950579583,0.4325038,14.77514837,1739,40,3,305,GALAXY,22.735703,21.026369,20.324032,0.478924,0.552575,-0.561128,-1.266736,-10.521205,1.416366,0.760746,6.021346,2.299169,-0.051323
A4052,587727223024321192,0.43323064,15.63797961,1739,40,5,305,GALAXY,22.249683,21.594538,21.405994,0.416418,0.999786,-2.302816E-3,-2.471773E-3,-7.203125E-4,1.145933,0.644796,2.552117,2.096469,0.014908
A4053,587731187277824560,0.42784424,0.63106807,2662,40,5,285,GALAXY,22.404434,21.723986,20.784727,0.05,0.128597,-2.004319E-4,-8.983934E-5,-2.767396E-4,1.315064,0.621381,3.163942,2.095767,-0.020231
A4054,587731187814695183,0.43526946,1.1584674,2662,40,6,285,GALAXY,20.859449,20.519476,20.2862,0.609151,0.628974,-0.032249,-0.086653,-2.52428,3.163364,1.022944,8.563013,2.048185,-0.028283
A4055,587730773888926528,0.42787842,14.72630521,2566,40,3,311,GALAXY,23.319231,22.043453,21.84959,0.09954,0.087175,-0.145584,-0.141735,-0.081615,0.102802,0.073234,2.403063,2.048907,3.320058E-3
A4056,587727220876837801,0.43651899,13.93325839,1739,40,1,305,GALAXY,25.527155,22.882582,24.504921,0.131293,0.067307,-0.166488,-0.166487,-0.076391,-9999,-9999,-9999,-9999,5.075137E-3
A4058,588015508195836693,0.43158187,-0.77323746,3325,41,2,111,GALAXY,25.256371,24.314617,22.908659,0.05,0.05,-1.527366,-1.588909,-1.22882,0.51659,0.42408,-5.526062,-0.948999,0.013749
A4060,587727180060295436,0.4353783,-9.53192833,1729,40,5,86,GALAXY,23.146042,21.746246,21.352926,0.05,0.05,-0.139805,-0.234905,-0.306447,0.648024,0.462202,4.10274,3.994631,-6.546755E-3
A4061,587727223024321194,0.43359307,15.65578107,1739,40,5,305,GALAXY,22.130487,21.625401,21.625097,0.05,0.05,-0.082397,-0.102545,-0.315549,0.618359,0.43338,16.12303,1.617942,-0.062728
A4064,588015508195836724,0.43049461,-0.83040853,3325,41,2,111,GALAXY,22.191748,23.247255,23.119623,0.05,0.05,-0.26014,-0.290818,-0.259205,-9999,-9999,14.247872,-0.320392,0.054706
A4065,587730773888925802,0.42822706,14.68572501,2566,40,3,311,GALAXY,22.294321,21.097704,20.6199,0.949988,0.734323,-2.112188,-2.545403,-8.698064,2.709178,1.296157,55.715199,2.379896,-0.048658
A4066,588015509806449020,0.43396051,0.48931268,3325,41,5,111,GALAXY,22.382944,21.339312,20.238501,0.582124,0.56444,-0.285282,-0.147124,-3.968851,2.883503,1.059863,4.855011,2.35299,-0.03109
A4067,587727227837809178,0.43445586,-8.82773267,1740,40,6,25,GALAXY,22.483238,21.633278,22.489166,0.05,0.05,-2.983784E-3,-3.886899E-3,-0.015593,2.396543,1.801607,100.579063,1.55319,-0.033955
A4068,587727178986553586,0.43461999,-10.17961694,1729,40,3,86,GALAXY,22.4821,22.222681,22.259157,0.099776,0.111194,-0.407847,-0.416018,-0.243801,-9999,-9999,5.821573,1.891075,5.382474E-3
A4072,587730775499539193,0.43460217,15.80591452,2566,40,6,311,GALAXY,23.357296,21.895945,22.062645,0.05,0.05,-0.525321,-0.557821,-0.450343,-9999,-9999,-63.726997,1.869854,9.134674E-3
A4073,588015508195836226,0.43273179,-0.71702295,3325,41,2,111,GALAXY,23.505846,20.471292,19.836359,0.351528,0.417319,-3.521371,-2.225927,-7.702477,0.220638,0.170089,3.929221,2.237952,-0.072904
A4074,587731186740953838,0.43635698,0.27783516,2662,40,4,285,GALAXY,23.123487,21.946894,21.429897,0.229058,0.252419,-0.242328,-0.27372,-0.253799,5.193313,1.733062,3.793258,1.786316,-0.050313
A4075,587727221950579730,0.43625841,14.74664662,1739,40,3,305,GALAXY,22.537701,22.120207,20.970875,0.752776,0.794648,-0.083532,-0.040372,-0.311865,4.035698,1.929174,4.300492,2.040179,-0.040328
A4077,587727223561192267,0.43044748,16.0374331,1739,40,6,305,GALAXY,23.508434,22.811596,21.573154,0.05,0.05,-0.012984,-0.013497,-0.029857,2.15825,0.809957,6.917654,1.110767,-0.044181
A4078,587727179523424267,0.43566559,-9.7673609,1729,40,4,86,GALAXY,23.764606,21.596596,21.101606,0.05,0.054106,-0.012827,-0.0151,-0.014365,3.949711,0.849545,5.096987,2.015637,-0.032746
A4081,587727220876837340,0.44240006,13.97651072,1739,40,1,305,GALAXY,21.822428,21.352148,21.022858,0.486864,0.699821,-0.018987,-0.017603,-0.100194,1.315912,0.774487,8.510026,1.032411,-0.028073
A4083,587727226227196251,0.43299195,-10.02866134,1740,40,3,25,GALAXY,21.279453,20.129469,19.812176,0.450204,0.557467,-0.024808,-0.227905,-23.478437,2.071087,1.091495,9.918246,2.244844,-0.027064
A4084,587730772815184428,0.43791094,13.84506049,2566,40,1,311,GALAXY,21.809839,21.383806,21.39757,0.05,0.05,-0.498272,-0.423999,-0.382084,1.186427,0.607032,8.141849,1.63162,0.016011
A4090,587727221413708411,0.43461957,14.50168953,1739,40,2,305,GALAXY,22.005913,20.862026,20.273512,0.327606,0.428438,-4.6101,-5.069733,-22.286465,1.757962,1.055006,18.165548,2.032067,-0.079617
