Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A2000,587727225153323431,0.20278922,-11.0077645,1740,40,1,23,GALAXY,21.337229,20.073174,19.563709,0.146,0.283337,-0.091594,-0.057276,-13.953614,1.759091,0.760956,4.35944,2.133904,-2.517135E-3
A2002,588015509806317986,0.20550461,0.49390941,3325,41,5,109,GALAXY,22.021912,21.234629,20.996895,0.300003,0.552122,-0.315759,-0.345758,-0.877421,1.944323,0.820343,5.635279,1.770066,-0.04847
A2004,588015508195705640,0.20450116,-0.71122044,3325,41,2,109,GALAXY,25.016893,23.041857,21.708845,0.05,0.758246,-0.170926,-0.174316,-0.337705,1.082649,0.841368,6.895797,1.406011,-0.012825
A2005,587731186740888445,0.20481217,0.3804928,2662,40,4,284,GALAXY,23.521481,22.269367,21.588184,0.05,0.05,-0.14668,-0.152194,-0.257677,1.276504,0.643233,3.67363,1.8546,-0.049439
A2007,587730775499473258,0.20346532,15.91289927,2566,40,6,310,GALAXY,20.395975,20.059,19.761251,0.60483,0.518853,-2.012231,-1.2458,-9.238523,2.030541,0.961391,6.016648,2.244606,-8.2644E-3
A2011,587730774425731946,0.20607408,15.02045217,2566,40,4,310,GALAXY,25.401772,22.202814,20.937757,0.344451,0.479002,-0.069147,-0.08173,-0.55017,1.090903,0.600028,4.613706,2.120066,-0.053658
A2012,588015507658834589,0.20608388,-1.16365238,3325,41,1,109,GALAXY,26.237099,22.108246,21.710978,0.05,0.368538,-0.669236,-0.152235,-1.128083,3.759603,2.059502,10.115247,0.940251,-0.051084
A2013,587731186204016998,0.20206366,-0.10501822,2662,40,3,284,GALAXY,22.989624,22.84503,22.074318,0.608732,0.106549,-0.36589,-0.374559,-0.317923,4.415123,2.051496,11.420569,2.044576,0.017825
A2019,587727225690194781,0.20054639,-10.51518962,1740,40,2,23,GALAXY,25.348083,23.05566,21.407301,0.05,0.05,-0.631355,-0.59647,-0.635965,1.077143,0.592438,3.25377,2.134042,-0.069193
A2020,587730775499473455,0.20980566,15.81746621,2566,40,6,310,GALAXY,21.833633,20.296467,19.610556,0.836548,0.814276,-1.167786,-0.785471,-18.474331,2.204182,0.893879,5.235378,2.148245,-0.038954
A2021,587727226763936356,0.20612393,-9.67743999,1740,40,4,23,GALAXY,21.561134,20.914742,20.684149,0.859801,0.999918,-0.0266,-6.628172E-3,-1.015731,2.251504,0.947501,5.33273,2.302422,-0.027666
A2022,587730774962603068,0.20512596,15.36961827,2566,40,5,310,GALAXY,23.566761,22.85384,21.369518,0.05,0.05,-0.04965,-0.035058,-0.090691,2.367579,0.736822,4.284765,2.046354,-0.051576
A2025,587727223561126019,0.20599875,16.03400926,1739,40,6,304,GALAXY,19.486109,18.512716,18.075144,0.526237,0.579803,-7.831919,-0.870893,-438.099609,2.367922,0.963045,6.139568,2.173202,0.343698
A2027,587730773351989740,0.20961364,14.1376014,2566,40,2,310,GALAXY,21.88135,20.903162,20.221395,0.563607,0.676149,-1.778274,-3.306525,-15.392565,1.425409,0.829944,7.513445,1.987296,-0.062068
A2028,588015508195705429,0.21130572,-0.8057513,3325,41,2,109,GALAXY,22.482729,21.057514,20.595846,0.664413,0.999687,-2.264019,-2.202768,-3.574713,4.71574,1.180026,5.691664,1.815691,-0.071568
A2029,587727178986422654,0.20799658,-10.30357295,1729,40,3,84,GALAXY,21.113684,19.908882,19.467142,0.076275,0.12872,-2.459038,-5.437994,-71.337975,1.914734,1.057977,10.80429,2.125129,-0.063863
A2030,587727225153389033,0.21035545,-10.84507534,1740,40,1,24,GALAXY,23.548071,21.860075,20.439867,0.26286,0.401765,-1.20061,-1.335287,-4.182981,2.056609,1.151563,6.510453,2.198757,-0.060876
A2032,587730774425731953,0.20880505,15.09906648,2566,40,4,310,GALAXY,23.294956,22.116955,21.994617,0.05,0.099961,-0.117755,-0.168103,-0.476753,2.613252,1.160565,37.873184,0.320942,-0.046624
A2033,587727226227065642,0.2065982,-10.06344844,1740,40,3,23,GALAXY,22.618746,21.885263,22.727633,0.05,0.669843,-8.84574E-3,-8.641683E-3,-4.919834E-3,1.010616,0.639978,-34.053688,-0.046099,0.058585
A2036,587730774962602568,0.20854837,15.55626712,2566,40,5,310,GALAXY,21.166496,20.65328,20.442587,0.249993,0.333367,-0.310221,-0.586786,-12.130096,2.322254,1.279913,13.706602,2.137491,-0.035185
A2037,587731185130275144,0.20237486,-0.89619754,2662,40,1,284,GALAXY,22.246883,21.312874,21.202402,0.273972,0.198478,-4.757726E-3,-5.370932E-3,-0.026179,2.388188,0.974619,4.22715,2.059673,0.061795
A2038,587731187277758986,0.20562211,0.65321863,2662,40,5,284,GALAXY,21.60947,20.62805,20.058546,0.267632,0.392633,-0.310615,-0.074716,-8.637712,3.342536,1.160134,8.206673,2.112335,-0.036769
A2041,587730775499473455,0.20980566,15.81746621,2566,40,6,310,GALAXY,21.833633,20.296467,19.610556,0.836548,0.814276,-1.167786,-0.785471,-18.474331,2.204182,0.893879,5.235378,2.148245,-0.038954
A2043,587727179523293777,0.2095708,-9.86864213,1729,40,4,84,GALAXY,22.986536,21.575483,20.590599,0.625738,0.723717,-0.020495,-0.013783,-2.785177,2.56511,1.181771,9.458184,2.301532,-0.026615
A2044,587727180060164802,0.20934006,-9.46777877,1729,40,5,84,GALAXY,22.829344,22.10013,23.132154,0.05,0.05,-7.616907E-3,-9.95947E-3,-0.018968,2.822055,2.131057,20.634724,0.543354,-0.044639
A2045,587727180597035760,0.20871726,-9.03724437,1729,40,6,84,GALAXY,23.928989,21.82197,20.840897,0.05,0.063947,-0.021421,-0.015417,-0.14812,2.695022,1.134652,18.879112,1.795385,-0.042685
A2046,587727180597035132,0.2083398,-9.07649567,1729,40,6,84,GALAXY,22.361919,21.020279,20.00243,0.634365,0.616593,-0.439964,-0.207194,-4.710369,2.481227,1.039692,6.624622,2.17229,-0.027858
A2047,587731186204017013,0.20953623,-0.04592969,2662,40,3,284,GALAXY,21.706671,21.244236,21.011276,0.159461,0.137861,-0.437058,-0.256727,-1.949281,3.723114,1.406314,5.337418,2.537695,-0.057816
A2048,587727177912680501,0.20618283,-11.1387182,1729,40,1,84,GALAXY,22.60803,23.720898,21.686142,0.711096,0.377083,-0.083986,-0.096769,-0.047189,2.157256,0.751425,3.380468,1.620511,0.012849
A2049,587727221413643389,0.21056603,14.49066552,1739,40,2,304,GALAXY,22.858957,22.817238,22.524338,0.099843,0.201503,-0.307813,-0.339353,-0.372402,0.670898,0.533423,9.239983,0.371211,0.090185
A2053,588015508195705429,0.21130572,-0.8057513,3325,41,2,109,GALAXY,22.482729,21.057514,20.595846,0.664413,0.999687,-2.264019,-2.202768,-3.574713,4.71574,1.180026,5.691664,1.815691,-0.071568
A2055,587731186740887939,0.20923438,0.3308311,2662,40,4,284,GALAXY,22.811722,21.462811,20.490587,0.318488,0.395286,-0.730174,-0.683444,-2.794769,3.230257,0.807783,4.680563,2.233454,-0.059533
A2057,587727227300807354,0.21090992,-9.2142864,1740,40,5,23,GALAXY,26.186262,21.849169,25.441433,0.999936,0.999759,-0.028966,-0.032245,-0.017524,-9999,-9999,-9999,-9999,6.91096E-5
A2058,587731186204017259,0.20614184,-0.13880805,2662,40,3,284,GALAXY,23.077946,22.108414,21.303419,0.05,0.092564,-0.036418,-0.034675,-0.016544,3.010226,0.754842,1.274767,1.040517,8.783912E-3
A2059,587731187277759000,0.21047451,0.83053722,2662,40,5,284,GALAXY,22.453091,21.074015,20.352821,0.299961,0.414362,-0.036472,-0.02326,-3.349791,2.834182,0.988553,7.189011,2.134524,-0.024745
A2060,587727223024255838,0.21415991,15.76257916,1739,40,5,304,GALAXY,21.929674,21.398664,20.903938,0.05,0.05,-1.633309,-1.674996,-1.571717,0.666948,0.461055,6.658008,1.644808,9.879589E-3
A2061,587730774425731956,0.20995335,15.11697517,2566,40,4,310,GALAXY,22.64782,21.546017,21.289087,0.05,0.05,-0.303855,-0.237618,-0.566451,1.789893,0.771632,9.746138,2.301366,-0.053505
A2062,587727227300807351,0.20914758,-9.23303851,1740,40,5,23,GALAXY,23.253613,21.784443,20.952446,0.35155,0.481343,-0.034067,-0.022313,-0.124666,1.443647,0.798807,5.116028,2.342624,-0.043877
A2065,587731187814630296,0.20617025,1.22242287,2662,40,6,284,GALAXY,22.679403,21.750439,23.039558,0.05,0.05,-0.014894,-0.015948,-8.135751E-3,-9999,-9999,-15.109953,1.489272,0.037
A2068,587727177912680857,0.20959852,-11.14160619,1729,40,1,84,GALAXY,22.25633,21.622953,21.228859,0.096177,0.10437,-0.012887,-0.012602,-4.902457E-3,1.146554,0.613475,3.808159,2.056626,7.084561E-3
A2069,587731187277758991,0.20784506,0.67422362,2662,40,5,284,GALAXY,22.188587,21.412085,21.226355,0.177841,0.424316,-0.123761,-0.184494,-0.877777,1.563287,0.903909,8.200377,2.119354,-0.042356
A2070,587730773351990336,0.21265059,14.16260655,2566,40,2,310,GALAXY,23.82408,22.791758,21.60692,0.05,0.05,-0.118425,-0.185579,-0.486,1.053767,0.623634,15.301456,1.676466,-0.053529
A2071,587727222487384245,0.21313763,15.36532411,1739,40,4,304,GALAXY,20.425589,19.321068,18.861862,0.727176,0.702635,-7.108263,-1.882798,-102.865517,6.384651,1.003764,3.133837,2.209473,0.02962
A2072,587731187814630301,0.21206405,1.0730007,2662,40,6,284,GALAXY,22.822329,24.078001,21.33787,0.180695,0.449849,-0.112679,-0.093763,-0.157836,1.355319,0.860594,-62.927341,1.548537,-0.049064
A2073,587730774425731961,0.21128784,15.12034614,2566,40,4,310,GALAXY,22.579195,21.575533,21.076937,0.05,0.05,-0.823736,-1.075031,-2.079228,0.972957,0.616988,6.142168,1.889778,-0.060755
A2075,587731186204017008,0.20817021,-0.02945887,2662,40,3,284,GALAXY,22.550303,22.011309,22.227142,0.075789,0.05,-0.541271,-0.545483,-0.323264,-9999,-9999,2.09183,1.435653,0.013321
A2076,587727179523293544,0.21134385,-9.88851593,1729,40,4,84,GALAXY,24.303259,22.306936,21.249527,0.216017,0.266643,-0.127934,-0.129451,-0.341549,4.111511,1.773813,12.602151,2.313218,-0.047516
A2077,587731186740887964,0.21583002,0.32417011,2662,40,4,284,GALAXY,22.484486,21.114922,20.131283,0.1778,0.276473,-0.235104,-0.232458,-2.475579,1.336361,0.685187,4.120438,2.189069,-0.063855
A2078,587727226227065280,0.20910448,-10.09599418,1740,40,3,23,GALAXY,22.684196,21.609131,21.466963,0.05,0.054788,-0.056116,-0.061797,-0.080183,1.368679,0.755787,2.467041,1.741553,-0.049499
A2079,587727221413643007,0.20974597,14.4552909,1739,40,2,304,GALAXY,23.027864,22.025372,21.888514,0.05,0.070076,-0.134905,-0.104555,-0.104373,0.91757,0.54437,2.370585,1.808075,7.021777E-3
A2080,587727225690194823,0.21283802,-10.42208888,1740,40,2,23,GALAXY,22.339746,21.678677,22.114637,0.122323,0.249974,-0.074877,-0.093603,-0.157436,1.592681,1.078794,7.14052,1.618649,0.063187
A2082,587730774425732128,0.21097553,15.10079841,2566,40,4,310,GALAXY,24.148766,23.101936,21.423498,0.100003,0.102726,-1.228496,-1.135912,-1.032037,2.026915,0.696858,2.741349,2.128698,0.019738
A2084,587731185667146068,0.21204201,-0.59898785,2662,40,2,284,GALAXY,22.837776,21.434401,21.104725,0.312586,0.260611,-0.130285,-0.138999,-1.126484,4.599137,1.871009,8.517444,2.223525,-0.031725
A2085,587731187277758490,0.21440442,0.78933815,2662,40,5,284,GALAXY,23.27739,22.212303,21.949329,0.167284,0.365263,-7.90772E-5,-1.000423E-4,-4.64278E-5,1.471374,0.781968,4.951801,1.796412,4.828016E-3
A2088,587727178986422860,0.21399443,-10.22159101,1729,40,3,84,GALAXY,23.887964,22.183317,21.294121,0.05,0.149283,-0.018824,-0.016908,-7.888786E-3,1.601353,0.665939,4.141463,1.85998,8.836078E-3
A2089,588015509806317757,0.21666242,0.52393889,3325,41,5,109,GALAXY,21.312958,19.577248,18.939175,0.64267,0.638963,-4.681494,-0.239811,-67.020081,2.526823,1.097588,5.993671,2.368079,0.010962
A2090,587731187814629778,0.21779327,1.2006433,2662,40,6,284,GALAXY,21.698669,21.001848,20.480516,0.499893,0.558689,-0.036968,-0.141585,-2.856359,2.033379,1.130984,10.330357,2.197115,-0.039366
A2093,587727227837678011,0.21166357,-8.89346478,1740,40,6,23,GALAXY,22.363747,23.020163,22.329666,0.099821,0.05,-1.223439,-1.33261,-1.095894,0.25738,0.211567,24.705379,0.333497,0.015481
A2094,587727220876771887,0.21391412,13.91587896,1739,40,1,304,GALAXY,23.518152,22.223211,22.087801,0.05,0.05,-0.939552,-1.020809,-0.961075,0.677744,0.451398,9.978806,2.035167,-0.095123
A2095,587727226227065480,0.21526444,-10.04762869,1740,40,3,23,GALAXY,22.032822,21.102762,20.904079,0.61855,0.536598,-1.437221,-1.168024,-2.787364,4.414145,3.261335,7.592816,1.749836,-0.055932
A2096,587727223024255507,0.2140369,15.58772603,1739,40,5,304,GALAXY,22.168276,21.134394,20.198664,0.171563,0.3107,-0.60789,-0.526865,-3.1322,5.642726,1.92616,4.737576,2.173756,-0.044633
A2097,587727178449551395,0.2156508,-10.78501715,1729,40,2,84,GALAXY,22.009684,21.340776,20.638674,0.203421,0.350026,-0.067555,-0.072781,-0.67347,1.584313,0.872133,7.44795,2.136009,-0.049528
