Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A8001,587727225690521938,0.87666089,-10.59634397,1740,40,2,28,GALAXY,22.446243,22.503855,22.63316,0.05,0.05,-0.592628,-0.820014,-0.872064,0.635706,0.541139,15.661163,0.751737,-0.066349
A8002,587727226764263430,0.87337387,-9.6567315,1740,40,4,28,GALAXY,23.584265,21.641121,20.027779,0.508476,0.309388,-0.010196,-5.729581E-3,-0.024683,5.65171,2.082806,26.047081,1.828968,-0.016945
A8003,587727225153651455,0.87915701,-10.81451058,1740,40,1,28,GALAXY,21.730307,21.02898,20.520472,0.999828,0.272144,-0.024196,-0.195669,-0.214923,2.591541,1.834162,16.033396,0.48013,-0.040745
A8004,587730775499735635,0.87707985,15.8049085,2566,40,6,314,GALAXY,21.838657,20.659382,20.219255,0.463162,0.666929,-0.092748,-0.113407,-7.779507,3.200354,1.097762,8.731398,2.185866,-0.041964
A8005,587727179523556106,0.87032623,-9.90530134,1729,40,4,88,GALAXY,23.182594,21.328388,21.703941,0.05,0.05,-0.90327,-0.919842,-0.731526,5.289398,1.239065,6.991677,0.565558,0.013212
A8007,587727223024517668,0.87845569,15.59681142,1739,40,5,308,GALAXY,21.896477,21.19453,21.056561,0.215118,0.279749,-0.101525,-0.053026,-0.104373,3.387214,1.086021,2.344405,2.160944,-0.035033
A8009,587727179523556204,0.87227939,-9.7975846,1729,40,4,88,GALAXY,23.045517,22.009703,20.952406,0.31178,0.400163,-0.02934,-0.042336,-0.249705,3.987052,1.388091,5.400305,2.237845,-0.037218
A8010,587727178986684507,0.87721427,-10.36287594,1729,40,3,88,GALAXY,20.08532,18.870316,18.333302,0.562215,0.605949,-0.058363,-1.822,-282.106201,2.972132,1.218525,9.516812,2.161011,0.012044
A8012,587727226764263490,0.87460287,-9.74263638,1740,40,4,28,GALAXY,19.164045,17.81311,17.335924,0.90819,0.870557,-167.920471,-1.279767,-1621.99744,4.021037,1.442811,7.189878,2.292423,0.216675
A8013,587727179523556209,0.87828177,-9.83871264,1729,40,4,88,GALAXY,25.935528,24.999578,21.4249,0.05,0.071936,-2.43323,-2.41049,-2.141641,2.336071,0.906192,2.351481,2.136527,0.013048
A8016,587727227301134558,0.87775487,-9.30439587,1740,40,5,28,GALAXY,20.594967,20.088406,19.858942,0.110433,0.22086,-7.607679E-3,-0.089665,-6.301245,1.258773,0.722733,6.536203,2.032084,-0.034665
A8017,587730772815380959,0.87843712,13.89001765,2566,40,1,314,GALAXY,21.170277,20.303816,19.894226,0.349474,0.406219,-0.457115,-0.435455,-26.199327,1.990935,0.851508,5.726541,2.066272,-0.035266
A8018,588015508732904005,0.87471772,-0.31282922,3325,41,3,114,GALAXY,22.985174,21.847307,21.70965,0.487735,0.572416,-3.168975E-4,-8.310061E-4,-0.017826,1.629645,0.923924,50.68774,0.689639,-0.017806
A8019,587727220877033951,0.87995818,14.06673514,1739,40,1,308,GALAXY,22.269825,21.530752,21.065178,0.05,0.05,-0.270065,-0.171556,-1.29477,2.339514,1.115834,5.361786,2.19593,-0.057122
A8020,587730773889122769,0.88241009,14.7310545,2566,40,3,314,GALAXY,21.52306,20.743959,20.778187,0.204737,0.252278,-0.162279,-0.152941,-0.440369,5.053173,2.361018,7.696619,2.066086,-0.027006
A8023,588015508732904307,0.87903188,-0.35356464,3325,41,3,114,GALAXY,22.896336,21.962664,22.164436,0.623166,0.848895,-0.077916,-0.09609,-0.062662,0.819454,0.651416,-20.782835,1.843465,0.034281
A8024,587727225153650749,0.88334059,-10.84197872,1740,40,1,28,GALAXY,20.224724,19.643442,19.582651,0.699958,0.699951,-1.888187,-2.140021,-7.136709,2.44297,1.085446,7.062037,2.126016,-0.048001
A8026,588015508196033153,0.87992883,-0.63075329,3325,41,2,114,GALAXY,23.082781,22.377562,21.624533,0.05,0.091413,-1.519191,-1.565678,-1.490281,0.893893,0.614439,-238.616379,1.500396,0.024143
A8027,587727178986684908,0.87397366,-10.2034353,1729,40,3,88,GALAXY,22.76449,22.249542,22.266727,0.161818,0.197187,-0.539393,-0.539941,-0.315732,0.260113,0.199613,1.52868,1.931275,6.346448E-3
A8029,587731187814892034,0.88074146,1.18489553,2662,40,6,288,GALAXY,21.744394,21.05036,20.635309,0.05,0.060408,-0.671141,-0.679754,-0.646113,3.941742,0.854117,4.538039,1.982353,0.021644
A8030,588015508196032834,0.87930083,-0.82021585,3325,41,2,114,GALAXY,22.520473,21.908249,21.455437,0.558824,0.263342,-0.013437,-0.015157,-0.02919,2.498163,0.966206,6.832797,2.14007,-0.045319
A8031,587727222487646780,0.88256115,15.20644556,1739,40,4,308,GALAXY,21.637758,20.840237,20.590298,0.53545,0.527862,-1.12877,-1.572313,-5.446011,1.408797,0.721242,4.014204,2.040515,-0.063594
A8033,587731186204279400,0.88098879,-0.1543963,2662,40,3,288,GALAXY,22.606167,21.344843,21.104223,0.05,0.050053,-0.425478,-0.467336,-0.529289,1.494989,0.776863,3.943012,2.212934,-0.084443
A8035,587731186741149876,0.876175,0.26069426,2662,40,4,288,GALAXY,22.783026,22.018774,21.631422,0.58462,0.05,-0.200617,-0.200523,-0.103611,2.552686,0.731802,1.863031,2.15997,7.089933E-3
A8038,587727225153651223,0.88310425,-10.83295138,1740,40,1,28,GALAXY,23.107853,21.934248,20.837275,0.05,0.088239,-0.707776,-0.575208,-0.666874,0.789227,0.490432,2.755815,2.291988,-0.085824
A8039,587731185667408349,0.87641671,-0.42199175,2662,40,2,288,GALAXY,21.505781,20.99029,20.763111,0.462661,0.499998,-0.284805,-0.286668,-2.442827,2.631137,1.229642,15.722358,2.168801,-0.040765
A8040,588015508196032835,0.88050955,-0.73857945,3325,41,2,114,GALAXY,21.667841,20.436018,20.132191,0.873423,0.860967,-0.182567,-0.865605,-16.188328,2.265179,1.29254,17.014969,1.950674,-0.020242
A8041,587727227301134919,0.87810373,-9.17680425,1740,40,5,28,GALAXY,23.238514,21.420485,20.652388,0.625458,0.820684,-0.047173,-0.038078,-0.297302,2.182449,0.970072,5.755622,2.138319,-0.03917
A8043,587731186741150631,0.88221126,0.32265311,2662,40,4,288,GALAXY,22.685938,21.62739,21.235229,0.452672,0.612312,-2.619624E-4,-6.731251E-4,-0.05,3.416795,2.105806,25.324898,2.085146,0.013918
