Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A3000,588015508732641464,0.30584911,-0.33824268,3325,41,3,110,GALAXY,20.301647,19.66869,19.318201,0.571342,0.68121,-0.3118,-1.3993,-94.8172,2.538559,1.034229,7.586095,2.185512,-0.022703
A3001,587727226764001736,0.30974698,-9.71532422,1740,40,4,24,GALAXY,21.349174,20.568382,20.271763,0.512807,0.502857,-1.271334,-1.658622,-8.60428,2.019491,1.084823,7.604457,2.263741,-0.048166
A3002,587727221950514073,0.30778051,14.82724165,1739,40,3,304,GALAXY,22.736046,21.768475,21.329227,0.05,0.05,-0.149439,-0.140886,-0.282414,1.833751,0.912992,2.8171,2.323014,-0.061605
A3003,588015508195770952,0.3120628,-0.77923777,3325,41,2,110,GALAXY,22.308907,20.824545,20.042862,0.05,0.05,-1.397293,-1.527101,-4.168024,1.512556,0.726904,4.821861,2.283218,-0.059686
A3004,587731185667146266,0.3083824,-0.5407438,2662,40,2,284,GALAXY,22.177837,21.517952,21.274376,0.678958,0.892932,-0.845595,-0.632822,-1.741467,1.830491,1.150596,8.756708,2.155579,-0.047006
A3005,587727220876772195,0.30481061,13.99655517,1739,40,1,304,GALAXY,23.410994,22.926609,21.797371,0.05,0.081035,-0.659045,-0.747885,-0.747352,0.060794,0.037951,3.571426,1.885126,-0.087165
A3006,587727227837743131,0.30758611,-8.83049204,1740,40,6,24,GALAXY,22.039499,21.811819,21.455336,0.066118,0.056941,-0.011362,-0.011351,-3.131716E-3,1.314471,0.588001,3.078702,1.660461,6.081613E-3
A3007,587727180597100851,0.3116176,-8.94487601,1729,40,6,85,GALAXY,20.888407,19.767637,19.272379,0.617825,0.673861,-0.029687,-2.420743,-63.235935,2.818707,1.416602,17.693565,2.10327,-0.026745
A3008,587731187814629576,0.30505839,1.24224153,2662,40,6,284,GALAXY,20.309235,18.997402,18.513638,0.771145,0.85556,-7.160143,-0.41684,-84.173409,2.856194,1.061192,6.362163,2.229132,0.142091
A3009,587727179523359317,0.30511337,-9.91374041,1729,40,4,85,GALAXY,22.812464,21.168276,20.342808,0.642778,0.79987,-3.090065,-3.605925,-10.440746,1.842489,0.971388,8.416076,2.051343,-0.065091
A3010,587727178449617275,0.30877251,-10.80176333,1729,40,2,85,GALAXY,22.431673,21.625231,21.048248,0.096976,0.067462,-7.358906,-7.378989,-6.740111,0.50949,0.372483,5.37489,1.56674,0.011612
A3011,587727226764001717,0.30294625,-9.59818177,1740,40,4,24,GALAXY,22.055252,21.57361,21.212769,0.099967,0.216965,-0.395183,-0.47099,-0.675415,0.755049,0.535192,4.683047,1.903267,-0.012385
A3012,587730773888861280,0.30875266,14.70545192,2566,40,3,310,GALAXY,26.079712,23.322519,21.046589,0.086569,0.100648,-1.445957,-1.056248,-1.329704,2.298821,1.377812,4.062915,1.963111,-0.084798
A3013,588015509269512611,0.31214211,0.12226032,3325,41,4,110,GALAXY,22.437202,21.775991,21.542839,0.249149,0.45641,-0.128684,-0.016917,-0.125385,5.587575,2.95149,4.909608,1.905241,-0.029222
A3016,588015508732641929,0.30607094,-0.22396341,3325,41,3,110,GALAXY,23.955021,22.935801,21.722313,0.097587,0.519354,-0.054396,-0.060142,-0.033581,0.803841,0.534949,3.522083,1.652756,0.012342
A3019,588015508195770946,0.30782721,-0.77131657,3325,41,2,110,GALAXY,22.857557,21.346502,21.196781,0.05,0.05,-0.642062,-0.841812,-1.323671,0.95605,0.568969,12.266354,1.77092,-0.069322
A3021,587727225153389181,0.30997336,-10.89729831,1740,40,1,24,GALAXY,23.591669,21.550571,20.883564,0.449914,0.613323,-0.32431,-0.300198,-0.188534,1.726475,0.681725,3.477906,2.162901,4.353905E-3
A3022,587730773888860874,0.30854488,14.68602022,2566,40,3,310,GALAXY,21.882257,20.82745,20.557241,0.274216,0.333731,-0.231003,-0.110234,-2.513083,2.153057,0.858875,4.788262,2.062443,-0.054751
A3023,587727225690259966,0.31238864,-10.53994932,1740,40,2,24,GALAXY,22.344765,21.607271,21.178762,0.05,0.094661,-2.641575,-2.416577,-2.394894,0.780013,0.465485,2.445526,1.964168,8.728845E-3
A3024,587731186204017205,0.30703909,-0.20844094,2662,40,3,284,GALAXY,22.735765,21.727428,21.203636,0.649714,0.763361,-0.286081,-0.334911,-0.54793,0.967274,0.6286,4.602219,2.044881,-0.071811
A3025,587727225690259966,0.31238864,-10.53994932,1740,40,2,24,GALAXY,22.344765,21.607271,21.178762,0.05,0.094661,-2.641575,-2.416577,-2.394894,0.780013,0.465485,2.445526,1.964168,8.728845E-3
A3026,588015507658899491,0.30948049,-1.13345017,3325,41,1,110,GALAXY,20.490559,19.997456,19.779249,0.746713,0.839468,-0.49112,-0.988724,-20.713934,2.854366,1.723533,27.288855,2.044937,-0.035998
A3028,587731186740888207,0.31006351,0.41459395,2662,40,4,284,GALAXY,22.22444,20.318344,19.491169,0.65729,0.776184,-2.651571,-0.666151,-28.623575,4.970465,1.624789,11.219144,2.489196,-0.028665
A3031,587727179523358763,0.3104248,-9.86642214,1729,40,4,85,GALAXY,21.903639,21.753679,21.979456,0.150014,0.299991,-6.304086E-3,-7.725053E-3,-0.012281,2.676097,1.895919,22.707548,0.558472,-0.01332
A3033,587727179523359550,0.31384803,-9.94749255,1729,40,4,85,GALAXY,21.974962,23.101646,23.181866,0.349123,0.05,-0.282152,-0.335382,-0.173784,2.945028,2.873963,32.867588,-0.388412,0.037068
A3034,587730774962668020,0.30968134,15.56322663,2566,40,5,311,GALAXY,22.360626,20.62916,19.726233,0.880779,0.841436,-1.087429,-0.580452,-13.384471,2.012066,0.877742,4.792892,2.229115,-0.059876
A3037,588015509806383719,0.31263464,0.55029727,3325,41,5,110,GALAXY,24.008793,22.150522,21.640532,0.05,0.092188,-0.023049,-0.016823,-0.011303,1.104522,0.520589,2.900183,2.339105,4.675102E-3
A3041,587727178986488460,0.31435806,-10.26976041,1729,40,3,85,GALAXY,23.439762,22.067593,21.475676,0.05,0.05,-0.10728,-0.066477,-0.148854,4.320423,1.092121,4.586214,2.062852,-0.057662
A3043,587727222487385346,0.31149557,15.19457688,1739,40,4,304,GALAXY,24.427004,22.129406,22.200001,0.05,0.066223,-0.02891,-0.02942,-0.014501,1.021388,0.630097,-2.049835,-0.718214,0.270358
A3044,587727178986488460,0.31435806,-10.26976041,1729,40,3,85,GALAXY,23.439762,22.067593,21.475676,0.05,0.05,-0.10728,-0.066477,-0.148854,4.320423,1.092121,4.586214,2.062852,-0.057662
A3045,587727225153388950,0.31799596,-10.8806095,1740,40,1,24,GALAXY,20.888483,20.462545,20.19334,0.336571,0.390736,-0.56352,-1.200651,-7.4318,2.586206,1.499476,17.950552,2.207726,-0.048938
A3047,587730774962667755,0.31171636,15.47505958,2566,40,5,311,GALAXY,19.964621,18.993334,18.659662,0.399985,0.454167,-2.90824,-3.044025,-304.573761,2.583986,1.025126,6.912661,2.195378,0.145285
A3048,588015507658899846,0.31104808,-1.11887018,3325,41,1,110,GALAXY,22.226273,21.004995,20.478588,0.05,0.05,-0.437348,-0.439761,-1.115827,2.203326,0.919394,3.791602,2.171103,-0.069157
A3049,587727177912746712,0.31278205,-11.20700701,1729,40,1,85,GALAXY,23.315657,22.664568,21.491663,0.099761,0.165713,-0.028924,-0.036944,-0.030993,1.184194,0.737425,7.371679,1.956316,-0.048443
A3051,587727227300872434,0.31593126,-9.25782477,1740,40,5,24,GALAXY,21.8876,21.702503,21.347221,0.05,0.05,-0.018529,-0.015852,-0.038886,2.095249,0.791698,2.445274,2.039789,-0.01888
