Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A6001,587727221950710100,0.67494945,14.76278805,1739,40,3,307,GALAXY,23.455341,21.885046,21.332668,0.106123,0.196694,-1.24919,-1.254028,-0.876591,0.368215,0.264759,1.828197,1.964838,1.321284E-3
A6004,587727220876968384,0.67399527,14.08549586,1739,40,1,307,GALAXY,20.802675,20.215775,19.958937,0.121452,0.195129,-1.605782,-1.819684,-25.548931,2.640536,0.999338,9.060314,1.977703,-0.065108
A6005,587730773352185976,0.67195889,14.21234928,2566,40,2,313,GALAXY,21.203056,20.865168,20.779997,0.05,0.05,-0.23154,-0.411482,-17.399706,3.595196,1.130639,14.236312,0.777452,-0.041724
A6006,587730773889057764,0.67306879,14.57155182,2566,40,3,313,GALAXY,25.112982,24.703377,21.975302,0.099565,0.091639,-0.862259,-0.937302,-0.714167,0.639505,0.446011,0.315227,-1.692126,0.06333
A6007,587727180597232387,0.6767997,-8.99946085,1729,40,6,87,GALAXY,22.714554,21.911184,21.933607,0.05,0.05,-0.204497,-0.240284,-0.169813,1.17614,0.720849,7.938548,1.280201,0.056592
A6008,587727179523490541,0.67232089,-9.86344163,1729,40,4,87,GALAXY,22.498394,21.900986,20.800207,0.2605,0.139158,-0.178246,-0.171649,-0.695875,2.719774,1.092891,5.678285,2.15324,-0.054703
A6009,587731186204213665,0.67533326,-0.04241572,2662,40,3,287,GALAXY,21.431166,20.481146,20.373266,0.804089,0.739594,-1.134436,-2.306776,-7.818074,1.710923,0.960475,10.816045,1.984015,-0.035016
A6010,587730773889057764,0.67306879,14.57155182,2566,40,3,313,GALAXY,25.112982,24.703377,21.975302,0.099565,0.091639,-0.862259,-0.937302,-0.714167,0.639505,0.446011,0.315227,-1.692126,0.06333
A6011,587727177912877417,0.67762356,-11.08035607,1729,40,1,87,GALAXY,21.848162,21.547869,21.29067,0.36752,0.248134,-1.666529,-0.911459,-2.714089,3.398079,1.756885,53.177334,2.024589,-0.043598
A6012,587730772815315462,0.67113216,13.79424474,2566,40,1,313,GALAXY,24.205729,22.271864,23.178425,0.05,0.099316,-5.103629E-3,-7.24104E-3,-0.019084,2.5431,1.873988,-762.742432,1.868742,-0.037295
A6013,587727226764133104,0.67358982,-9.72433452,1740,40,4,26,GALAXY,22.162941,21.046898,21.027365,0.105693,0.087811,-0.887145,-0.903613,-0.635872,1.067519,0.695903,-34.299706,1.513019,0.018916
A6015,588015510343385885,0.66684581,0.87713733,3325,41,6,112,GALAXY,18.259569,30.15745,30.11408,0.999155,0.999701,-2.906874,-2.906349,-2.423181,-9999,-9999,1.861635,1.734232,0.054244
A6017,588015509269643747,0.67695651,0.02244923,3325,41,4,112,GALAXY,22.565557,21.827934,21.624172,0.05,0.138045,-0.031052,-0.032902,-0.013864,1.599492,0.653916,2.412685,1.561918,0.010354
A6018,587727178986618943,0.67791848,-10.30819934,1729,40,3,87,GALAXY,19.606461,26.534687,21.310005,0.998785,0.999224,-5.335841E-6,-5.397289E-6,-1.25808E-6,4.54316,4.373261,-9999,-9999,3.827701
A6022,587731187277955582,0.67493622,0.81855019,2662,40,5,287,GALAXY,21.962948,21.308865,21.231911,0.05,0.115346,-0.387362,-0.396136,-0.266671,2.52864,0.803351,3.64252,1.952401,9.278297E-3
A6023,587727221413838884,0.6790996,14.34532652,1739,40,2,307,GALAXY,21.384754,20.360468,19.745546,0.920653,0.809555,-14.637952,-2.893339,-67.673599,2.476699,1.142898,3.830617,2.322016,-8.469409E-3
A6024,587731185667343268,0.67679134,-0.5746211,2662,40,2,287,GALAXY,23.253654,22.01396,21.462265,0.221823,0.280193,-8.901458,-8.838093,-8.456762,2.036665,0.883084,3.808942,2.078384,8.127304E-3
A6026,587727227837874865,0.67671245,-8.83598157,1740,40,6,26,GALAXY,24.145533,22.699112,21.565672,0.05,0.05,-0.174272,-0.1858,-0.125589,0.666678,0.480156,5.654914,1.137863,0.010959
A6031,588015508732773259,0.67569114,-0.3306403,3325,41,3,112,GALAXY,24.711525,22.893669,21.517473,0.05,0.328863,-0.502331,-0.445899,-0.461049,1.423449,0.800283,16.329224,0.460059,-0.06593
A6034,587727225153585423,0.67670998,-10.84629414,1740,40,1,27,GALAXY,21.54702,20.345024,19.897905,0.483506,0.55395,-0.126278,-0.541758,-18.301697,2.113878,1.044523,7.630337,2.201209,-0.040329
A6035,587727225690456348,0.68192415,-10.53598641,1740,40,2,27,GALAXY,21.997074,20.604403,20.196861,0.307672,0.333017,-0.857166,-1.03971,-3.779025,1.973,0.756488,3.653418,2.069846,-0.063554
A6036,587727178449748633,0.67392961,-10.77511587,1729,40,2,87,GALAXY,22.881386,22.00065,21.647629,0.071751,0.43245,-5.04162,-4.587347,-4.095007,1.611354,0.80521,2.918032,1.863262,0.018275
A6039,587727178986619742,0.6723221,-10.26421637,1729,40,3,87,GALAXY,22.091831,22.002665,20.550871,0.109552,0.05,-0.325021,-0.136979,-0.170325,6.62293,3.900167,2.360647,2.210249,-0.035335
A6041,587727227837874916,0.68213229,-8.81917816,1740,40,6,26,GALAXY,20.572769,19.745455,18.355474,0.518758,0.368261,-0.136392,-0.094387,-2.385918,16.362015,9.490142,184.127762,2.277334,-0.01518
A6042,587727177912877425,0.68067697,-11.16468681,1729,40,1,87,GALAXY,21.747309,21.831367,21.334803,0.280828,0.349964,-0.047474,-0.067957,-0.362398,4.083617,1.30423,7.911841,1.049112,-0.045031
A6044,587727180060361423,0.67736803,-9.42525935,1729,40,5,87,GALAXY,22.622021,22.126244,21.781689,0.05,0.05,-4.68223E-3,-4.52422E-3,-3.292129E-3,2.170236,0.923422,20.716995,1.784204,5.062262E-3
A6045,587727223561323252,0.67982308,16.06774007,1739,40,6,307,GALAXY,22.432516,20.625771,21.152159,0.05,0.080655,-2.226064,-2.02339,-1.886547,-9999,-9999,-9999,-9999,7.632362E-3
