Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A9001,587727225690522084,0.95928866,-10.4327777,1740,40,2,28,GALAXY,22.301228,21.051582,20.23975,0.485005,0.54719,-0.023347,-0.141075,-6.959477,1.729349,0.794339,5.212059,2.050847,2.656131E-3
A9002,587730775499801594,0.95866059,15.92624691,2566,40,6,315,GALAXY,23.44817,22.349056,20.846422,0.294926,0.345017,-0.013042,-0.030322,-0.561555,6.420249,2.149074,26.852566,1.830444,4.629516E-3
A9003,588015509806646208,0.96006635,0.42304154,3325,41,5,114,GALAXY,23.564592,26.574223,24.209095,0.191387,0.05,-0.07173,-0.064615,-0.02893,3.162306,1.6544,62.454693,-2.667465,0.01001
A9004,587727179523621249,0.96193572,-9.88117368,1729,40,4,89,GALAXY,21.953569,20.479681,20.059168,0.211745,0.283509,-0.029958,-0.015105,-2.682596,2.344438,0.867632,4.811594,2.048858,-0.021026
A9005,587731187278086182,0.96182108,0.76586042,2662,40,5,289,GALAXY,23.661745,22.259115,20.476847,0.421375,0.609521,-0.29268,-0.342744,-2.610764,2.843863,1.941789,23.044861,2.035905,-0.062563
A9007,587731185130602929,0.9593637,-0.9327603,2662,40,1,289,GALAXY,21.049849,19.754162,19.44173,0.538395,0.635159,-2.232374,-9.827755,-98.519508,2.684681,1.470805,18.097927,2.0676,0.05744
A9008,587731186741215259,0.96160707,0.27346621,2662,40,4,289,GALAXY,23.204145,21.478512,21.515219,0.4252,0.483425,-0.017581,-0.019883,-0.37889,2.760093,2.040211,19.707087,0.348562,-0.029537
A9011,587730773352317306,0.95724583,14.18967033,2566,40,2,315,GALAXY,22.537098,22.016275,21.962654,0.05,0.05,-2.880414,-2.879094,-2.182613,0.348543,0.229935,0.909435,1.163599,0.017431
A9020,587727227301135174,0.95894405,-9.23707838,1740,40,5,28,GALAXY,23.256514,22.359062,21.315037,0.276934,0.413085,-2.685715E-3,-5.323832E-3,-0.031594,1.569241,0.812485,7.883405,1.546962,-0.013434
A9026,587731186741215595,0.9620515,0.31760821,2662,40,4,289,GALAXY,21.792252,20.911427,20.66251,0.651419,0.6134,-0.136487,-0.218875,-5.580599,2.807941,1.316799,12.703843,2.100192,-0.016338
