Name,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A7422,587727227837940086,0.80550657,-8.81552107,1740,40,6,27,GALAXY,21.680353,20.762793,20.496176,0.283359,0.341007,-0.040137,-0.100419,-0.98385,1.735664,1.116378,11.158921,2.107042,-0.032243
A7423,588015507659096745,0.80270714,-1.06831575,3325,41,1,113,GALAXY,23.218485,23.080734,21.529385,0.05,0.05,-0.078191,-0.100379,-0.1149,1.173019,0.650514,5.315802,2.475537,-0.053869
A7424,587727227837940088,0.8054824,-8.90007696,1740,40,6,27,GALAXY,21.918123,21.067659,20.99991,0.567366,0.506367,-0.099131,-0.171091,-0.551679,2.196865,1.408666,15.669129,1.99472,-0.038772
A7426,587727227301068967,0.80277092,-9.19682653,1740,40,5,27,GALAXY,19.680948,18.200567,17.666435,0.236092,0.307142,-86.760521,-13.611219,-737.303162,3.801499,1.287227,8.438825,2.246236,0.260191
A7427,588015509806580643,0.80850742,0.60694801,3325,41,5,113,GALAXY,25.027908,22.770933,21.48259,0.05,0.092515,-0.092282,-0.089982,-0.073424,1.058168,0.632653,5.692334,1.875116,9.633319E-3
A7428,587727179523556028,0.80337772,-9.97068601,1729,40,4,88,GALAXY,22.426949,20.536751,19.908239,0.466491,0.478504,-1.684985,-0.990224,-7.237606,4.003569,1.250559,5.823413,2.250679,-0.064522
A7429,587727225690456726,0.79769996,-10.54556025,1740,40,2,27,GALAXY,23.513971,21.806873,21.35458,0.05,0.05,-0.267075,-0.188381,-0.142069,1.068283,0.559741,1.911989,2.181229,5.964533E-3
A7430,588015508732838412,0.80740156,-0.25413311,3325,41,3,113,GALAXY,22.137714,20.989723,20.31315,0.728703,0.563976,-7.47797,-5.315443,-7.334807,3.733635,1.962218,3.046228,2.201221,-0.053695
A7433,587727178986684991,0.80891962,-10.24052472,1729,40,3,88,GALAXY,22.88838,21.908251,21.642494,0.05,0.05,-0.365923,-0.398223,-0.359783,0.584693,0.397934,-4.399508,1.719108,9.868251E-3
A7435,587727179523556170,0.80922145,-9.94733586,1729,40,4,88,GALAXY,23.295288,22.720112,20.959967,0.05,0.05,-0.299026,-0.34669,-1.682442,2.150151,0.872313,10.962146,2.107707,-0.06453
A7436,588015509806580636,0.80384703,0.55590474,3325,41,5,113,GALAXY,24.089481,22.493793,21.315186,0.999773,0.323474,-0.023816,-0.026849,-0.022042,1.231744,0.654912,3.350427,2.139928,0.011744
A7440,587727179523556032,0.80576487,-9.87613696,1729,40,4,88,GALAXY,24.306356,21.930092,21.072027,0.05,0.05,-0.049857,-0.056818,-0.125549,1.15877,0.596204,3.436,2.154465,-0.051174
A7442,587727221413905153,0.80729944,14.34579706,1739,40,2,308,GALAXY,22.586,21.238808,20.849592,0.603512,0.587276,-2.693008,-3.377247,-5.523833,2.155529,1.270471,31.524216,1.593419,-0.07638
A7443,587727180597297504,0.80863593,-8.96457331,1729,40,6,88,GALAXY,22.514786,21.834694,21.487774,0.10635,0.070444,-0.050769,-0.052243,-0.021405,3.326112,0.82384,4.824251,1.923331,5.470721E-3
A7444,588015507659096363,0.80289784,-1.07695877,3325,41,1,113,GALAXY,21.430637,20.744865,20.92028,0.05,0.224469,-2.14566,-2.384261,-4.151053,1.943772,0.846186,11.72248,1.600366,-0.09353
A7445,587730772815381082,0.80737374,13.79598097,2566,40,1,314,GALAXY,23.42449,21.499937,21.071144,0.800013,0.87214,-1.549913E-3,-2.169794E-3,-6.293959E-3,1.218161,0.665805,4.012372,2.010297,-0.030884
A7447,587731187278021043,0.8066137,0.80974943,2662,40,5,288,GALAXY,22.257904,20.474695,19.592318,0.373033,0.412012,-1.026752,-0.858413,-8.793278,2.448157,0.899343,5.572496,2.102575,-0.042031
A7448,587731187814891581,0.80926135,1.24698853,2662,40,6,288,GALAXY,22.56502,21.096523,18.932152,0.209265,0.47846,-1.065953,-0.387959,-2.425725,4.660255,2.010955,29.681087,2.049196,-0.03857
A7449,587727227837939880,0.80642271,-8.79066399,1740,40,6,27,GALAXY,19.911362,19.617247,19.341513,0.551375,0.593289,-0.112676,-5.188701E-3,-27.982462,3.422594,1.327421,10.742479,2.190231,-0.015211
A7450,587727223024518051,0.8100936,15.72591718,1739,40,5,308,GALAXY,24.389233,23.418604,22.179447,0.099822,0.073436,-5.730168E-3,-6.411655E-3,-2.119379E-3,1.376045,0.763012,1.85167,1.557519,5.517642E-3
A7453,587727178986684994,0.81009008,-10.35808093,1729,40,3,88,GALAXY,22.677166,21.52775,21.623047,0.05,0.075296,-0.028631,-0.036347,-0.24237,4.098948,1.628979,57.85046,1.929728,-0.041729
A7455,588015508195967182,0.80930622,-0.71971889,3325,41,2,113,GALAXY,20.368298,19.716856,19.543888,0.736294,0.831724,-0.103197,-0.198026,-18.02984,1.584181,0.822154,5.067053,2.192113,-0.033996
A7457,587731186741150641,0.80432523,0.25009984,2662,40,4,288,GALAXY,23.787231,23.838547,21.644552,0.234021,0.730155,-0.613139,-0.792057,-0.860617,1.118634,0.813192,-14.906678,0.509504,-0.02957
A7458,587727226227327139,0.81165567,-10.09141287,1740,40,3,27,GALAXY,20.397511,19.121235,18.563955,0.362936,0.392828,-2.372362,-0.487116,-154.232834,3.191711,1.271248,7.910808,2.287435,0.029132
A7459,587727178986685107,0.80742189,-10.29332164,1729,40,3,88,GALAXY,23.232456,22.481159,21.251429,0.400023,0.45997,-0.592202,-0.614863,-1.025706,2.18149,0.984461,8.491315,2.136804,-0.054615
A7460,587727226227327661,0.81342143,-10.12812594,1740,40,3,27,GALAXY,22.38777,20.877808,20.402159,0.748835,0.656826,-1.951537,-2.722183,-9.186813,1.683425,1.014159,10.94121,2.158644,-0.046292
A7461,587727180060426664,0.80897673,-9.54340404,1729,40,5,88,GALAXY,22.111582,21.512945,20.913422,0.271777,0.450025,-0.032063,-0.051667,-0.547076,1.509882,0.939385,12.326836,2.266925,-0.039584
A7464,588015507659096606,0.81127423,-1.10282082,3325,41,1,113,GALAXY,22.205128,21.523991,21.131567,0.308464,0.05,-0.323882,-0.241044,-0.662803,5.349794,1.811768,12.798298,1.991322,-0.040143
A7465,587727223024517866,0.81111118,15.70655623,1739,40,5,308,GALAXY,23.099546,21.259041,20.787445,0.46201,0.662379,-0.111627,-0.067845,-0.49943,1.428703,0.788518,5.35149,2.287423,-0.048227
