Name,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A22,587727221413511423,00:00:05.70,+14:24:44.8,56,0.321,0.036000000000000004,0.33899999999999997,0.14300000000000002,0.125,0.036000000000000004,0.518,0.069,0.721,0,0,1,587727221413512228,0.00044975,14.40728788,1739,40,2,302,GALAXY,23.096073,22.563766,21.244816,0.2637,0.471074,-0.200757,-0.152411,-0.6178739999999999,1.9295849999999999,0.699182,3.5210559999999997,2.1728490000000003,-0.054594000000000004
A23,587730775499407519,00:00:06.11,+15:52:31.4,58,0.828,0.017,0.0,0.086,0.069,0.0,0.10300000000000001,0.556,0.326,0,0,1,587730775499407809,0.00312169,15.87247916,2566,40,6,309,GALAXY,21.786594,20.996485,21.004898,0.368125,0.255583,-2.453872,-2.822634,-4.0261,3.954826,1.488702,15.490859,2.134024,-0.078194
A24,588015509806252152,00:00:06.67,+00:30:16.8,38,0.711,0.0,0.0,0.132,0.158,0.0,0.132,0.612,0.21600000000000003,0,0,1,588015509806252415,0.00315504,0.50729367,3325,41,5,108,GALAXY,19.952291,19.154903,18.839991,0.579858,0.645437,-0.143282,-5.351634,-165.42700200000002,3.545689,1.7158830000000003,23.745188,2.162145,-0.014263999999999999
A26,588015510343123099,00:00:07.12,+00:51:28.5,47,0.7659999999999999,0.021,0.043,0.149,0.021,0.0,0.213,0.602,0.373,0,0,1,588015510343123540,0.00478126,0.85961493,3325,41,6,108,GALAXY,22.298864000000002,21.62557,21.381795999999998,0.164963,0.21358400000000002,-0.006462626,-0.0048339920000000005,-0.008706407,2.43919,0.978347,12.471647,2.513236,-0.037724
A27,587727220876640496,00:00:07.35,+13:54:36.6,24,0.833,0.0,0.0,0.125,0.042,0.0,0.125,0.645,0.301,0,0,1,587727220876640870,0.00329999,13.91097779,1739,40,1,302,GALAXY,22.455755,22.649881,21.667046,0.05,0.05,-0.667463,-0.670664,-0.615375,0.956391,0.48733699999999996,5.246874,2.107924,0.026242
A28,587730775499407506,00:00:07.37,+15:51:19.2,31,0.742,0.0,0.065,0.0,0.09699999999999999,0.09699999999999999,0.065,0.513,0.183,0,0,1,587730775499407479,359.99776089999995,15.85631313,2566,40,6,309,GALAXY,19.488092,18.440042000000002,17.917727,0.545667,0.592751,-24.598186,-9.708115,-689.9354860000001,3.056045,1.150981,7.9666820000000005,2.199191,0.8547020000000001
A30,587730775499407394,00:00:07.62,+15:50:03.2,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,587730775499407731,359.99932349,15.83609796,2566,40,6,309,GALAXY,21.067239999999998,21.490225,20.81168,0.418322,0.49526400000000004,-1.1728219999999999e-05,-7.313566e-05,-0.037649,1.6924119999999998,0.8413229999999999,6.868339999999999,2.075804,-0.016673
A32,587731186203951236,00:00:07.82,-00:02:26.1,31,0.226,0.581,0.032,0.161,0.0,0.0,0.774,0.226,0.774,0,0,1,587731186203886068,359.99857121,-0.04413167,2662,40,3,282,GALAXY,22.589605,21.243679,20.644823000000002,0.253126,0.400034,-0.7020930000000001,-1.203929,-3.8099800000000004,1.43315,0.8415229999999999,6.480174,2.0098830000000003,-0.073575
A33,587730773888794640,00:00:08.09,+14:32:45.7,33,0.273,0.03,0.242,0.061,0.121,0.273,0.33299999999999996,0.09,0.435,0,0,1,587730773888729943,0.00090893,14.546806699999998,2566,40,3,308,GALAXY,22.10833,22.387729999999998,21.162935,0.415199,0.515138,-0.011977,-0.048632999999999996,-0.558836,1.416246,0.799802,9.880555000000001,2.0856779999999997,-0.04017
A35,587727221413576845,00:00:08.58,+14:30:59.3,61,0.32799999999999996,0.066,0.213,0.32799999999999996,0.066,0.0,0.607,0.055999999999999994,0.856,1,0,0,587727221413512102,0.00036583,14.51993253,1739,40,2,302,GALAXY,23.51334,22.649323000000003,22.094984,0.05,0.05,-0.001011253,-0.001310495,-0.012948,1.121385,0.541612,2.521236,1.884127,-0.031083
A36,587730774962536636,00:00:09.02,+15:26:14.4,31,0.8059999999999999,0.0,0.09699999999999999,0.09699999999999999,0.0,0.0,0.19399999999999998,0.473,0.527,1,0,0,587730774962536482,0.00264571,15.437760399999998,2566,40,5,309,GALAXY,22.252384,21.563469,21.042204,0.363286,0.44648999999999994,-0.017465,-0.008486829,-0.735021,5.10307,1.491892,15.389151000000002,2.045661,-0.027676
A37,587730773351923927,00:00:09.56,+14:14:36.1,51,0.47100000000000003,0.059000000000000004,0.11800000000000001,0.078,0.275,0.0,0.255,0.155,0.43799999999999994,0,0,1,587730773351859033,0.0003215,14.24382093,2566,40,2,308,GALAXY,23.194412,21.392353,20.837320000000002,0.058552,0.14999300000000002,-0.611358,-0.8971110000000001,-7.690672,1.857775,0.9139219999999999,10.195699000000001,2.044484,-0.07108400000000001
A40,587727223024189636,00:00:11.10,+15:42:12.8,27,0.815,0.037000000000000005,0.0,0.07400000000000001,0.07400000000000001,0.0,0.111,0.505,0.358,0,0,1,587727223024124755,0.00095761,15.70468928,1739,40,5,302,GALAXY,22.428701,21.483608,20.890913,0.099367,0.14438,-3.023555,-3.051767,-2.957722,5.2360690000000005,1.581004,2.504849,2.1640770000000003,0.016158000000000002
A42,588015508195639389,00:00:11.61,-00:38:38.3,55,0.273,0.0,0.055,0.655,0.0,0.018000000000000002,0.7090000000000001,0.084,0.894,1,0,0,588015508195639843,0.00545141,-0.6432651,3325,41,2,108,GALAXY,22.778579999999998,21.625235,20.910498,0.05,0.05,-0.26157600000000003,-0.14990599999999998,-0.374244,1.7745799999999998,0.810616,4.861295,2.278325,-0.062597
A44,587727225690128567,00:00:12.35,-10:32:10.7,54,0.185,0.019,0.037000000000000005,0.7040000000000001,0.037000000000000005,0.019,0.759,0.043,0.894,1,0,0,587727225690129102,0.00322306,-10.5405926,1740,40,2,22,GALAXY,22.276978,21.291334,20.904772,0.7372770000000001,0.50849,-1.637681,-1.413429,-1.633199,2.702147,1.012081,3.040514,2.035016,-0.085781
A47,587730775499407554,00:00:13.13,+15:52:54.0,68,0.779,0.015,0.0,0.07400000000000001,0.10300000000000001,0.028999999999999998,0.08800000000000001,0.55,0.247,0,0,1,587730775499407379,0.00327325,15.88039207,2566,40,6,309,GALAXY,20.931116,20.325056,19.952324,0.47271,0.707675,-0.643285,-0.518537,-1.9993310000000002,1.8909619999999998,0.7612329999999999,4.541593,2.0326779999999998,-0.044787
A50,587731187277693100,00:00:13.84,+00:39:12.2,38,0.5,0.026000000000000002,0.053,0.342,0.053,0.026000000000000002,0.42100000000000004,0.162,0.721,1,0,0,587731187277628123,0.00214734,0.65415989,2662,40,5,282,GALAXY,22.289461,21.725628,21.45504,0.05,0.05,-0.91622,-1.168731,-1.384725,-9999.0,-9999.0,9.929939,2.192735,-0.093533
A51,587727225690128575,00:00:14.09,-10:28:45.9,67,0.94,0.0,0.0,0.015,0.045,0.0,0.015,0.927,0.027999999999999997,0,1,0,587727225690128882,359.99862138,-10.47762755,1740,40,2,22,GALAXY,21.366049,20.461864000000002,20.091045,0.999827,0.9999889999999999,-0.42987700000000006,-0.423361,-1.334091,2.3760689999999998,0.717199,3.143798,2.189006,-0.045709
